Dataset,MLHAT,KNN,NB,AMR,HT,HAT,EFDT,SGT,MT,ARF,AMF,ABALR,ABOLR,MLBELS,MLHT,MLHTPS,iSOUPT,iHomer
Flags,0.5005448686862346,0.5459734540832438,0.414337829016658,0.4793859440281451,0.52188565512426,0.5107385874810987,0.52188565512426,0.6191227661829068,0.4138261223378845,0.5463300075634621,0.472090430815359,0.4836087529961214,0.4779393787605608,0.4494900784177614,0.4070835143212521,0.3877671691502156,0.4793859440281451,0.527330847
WaterQuality,0.51421839547157,0.5111634522261217,0.5259168952661757,0.5175696037719772,0.2500917426657755,0.2680221169212458,0.3020048249043886,0.2955466622248974,0.1804341128569185,0.4433258830234484,0.3894202866476915,0.5114727286653485,0.513899128933353,0.4200148420938837,0.171418986033929,0.2026825173283816,0.5132304664280802,0.503294331
Emotions,0.4299178849927223,0.4580007553538935,0.6242636936744838,0.3060374526115039,0.4630570049938773,0.4699859686872564,0.477809850281534,0.3454186755187193,0.0252959460942879,0.5063276497325881,0.3461717750731011,0.2875663782829597,0.2958816109081237,0.5494785972160127,0.3157647662788294,0.5263272474616556,0.3060374526115039,0.445353908
VirusGO,0.6240453488892146,0.6219840275059176,0.1446911052473479,0.4797709196966886,0.2840634470240634,0.4258957331239975,0.2840634470240634,0.3171009497891098,0.4564327125416997,0.3065007181794006,0.7966069524887847,0.422728879802174,0.4431329752488691,0.3262385256315444,0.2100649059102462,0.2084582345361363,0.4260354699612388,0.415140051
Birds,0.0918655288645521,0.1029032641089463,0.0,0.1122118525402344,0.0,0.0,0.0712449340810453,0.0758279303344959,0.039164774350554,0.0491073552575126,0.0573309399284708,0.0982247811281338,0.089929039088269,0.0869610685197463,0.0,0.0,0.1121629444511441,0.055666945
Yeast,0.3720552383597225,0.3591651838485646,0.4417970635476617,0.1389789661356153,0.2879328749418843,0.3056089120871105,0.278115836773568,0.2160777008842724,0.1327606630928209,0.2701638467091486,0.1406977947795829,0.1373586866170638,0.1414314635090052,0.3768340386687847,0.2201023741361303,0.4036799976223176,0.1627896821676652,0.364159799
Scene,0.9406383688373112,0.8069185469163145,0.6068899224725977,0.9103778559580936,0.4451920598691306,0.5763341486263274,0.7045006853210012,0.1965661771441763,0.5828431172644051,0.8180868832538069,0.8484425500459065,0.907406078382076,0.906863053855533,0.7869567505666599,0.0804344956517237,0.5826686403466591,0.880452466824691,0.166666667
Human,0.7543809336441871,0.3223433261242564,0.2031258723896768,0.7264824797863147,0.2172884251305463,0.2779694697631046,0.2487242939627829,0.0713828077955722,0.195342025589819,0.3675800984052728,0.387742848431733,0.6972576527501064,0.7191347366683669,0.3459601032284009,0.0963708747061203,0.1186314965329893,0.6456027716610665,0.709249119
Yelp,0.8407475827951678,0.621201368389735,0.3889942402377064,0.6947294568633747,0.5528410462310428,0.6362552977154032,0.6696081393281195,0.3416610978659915,0.3000689052596634,0.8176775533315708,0.567249918030737,0.7474096416678935,0.7500386809144499,0.6528593920681913,0.4585108233249922,0.5218797232942511,0.7309421866387309,0.85124299
Medical,0.2296802528823464,0.1066912649147627,0.0003286181396003,0.0318405526767594,0.1110931009942993,0.1089112401989608,0.2029648606061498,0.0953745407953167,0.1160638728939533,0.0309485949935447,0.2223576751292541,0.0164638292995554,0.0153592567778008,0.239721872063984,0.0094362471213555,0.000323806471309,0.0283894561959645,0.197148224
Eukaryote,0.7955469588225017,0.3452591350153168,0.1402058578085656,0.7119196864463908,0.2570563947794816,0.3486154029775906,0.3368068614593351,0.0434708364979363,0.3054547109643054,0.4277757993229061,0.4243130123235062,0.7118248773550921,0.7154287263341799,0.361052174444099,0.0688555633755158,0.0902837222486844,0.6337877064384992,0.169315835
Slashdot,0.3510355819495572,0.0210868011308347,0.0,0.010441826799163,0.0774259812594878,0.1072730386573446,0.1507023380129864,0.0987264590718701,0.0104074466161103,0.0576053888962364,0.0897747894991081,0.0048938268715691,0.0037350580454964,0.3049944409104363,0.0201229366427923,0.0041240791398312,0.0239691294690841,0.157704551
Enron,0.1766576206694259,0.1601426874918989,0.0839141499894074,0.0937108809323283,0.0523419942783248,0.052622472501134,0.0896550916678461,0.0579003682364004,0.0586484012428154,0.0778248097676164,0.0855237812570653,0.0876506194854421,0.0955966958344914,0.0994167218678154,0.0331680486176568,0.0284446355935111,0.085638470478008,0.152923897
Hypercube,0.993167188585415,0.9939595552248596,0.9715042868804712,0.9828796352501876,0.926913676438869,0.9634289308896484,0.9354349587409192,0.055013120655045,0.9946351404558532,0.9931844765718616,0.9947284740105368,0.9885043776461871,0.9888208978407956,0.987027108470204,0.7799052867857439,0.8095788914596944,0.9379526614378147,0.1
Langlog,0.0447508181493203,0.011432273827703,0.0,0.0120091634201654,0.0,0.0,0.0158631385593579,0.0273653635527331,0.0026378661096729,0.000690029556494,0.0031553656669307,0.0059411366227713,0.0073274497748131,0.0283717944142123,0.0012260620787324,0.0059504601151505,0.0092367466577848,0.01199038
Stackex,0.0939245462298747,0.0150542831397098,6.146913479142744e-05,0.0108098650738068,0.001808740333304,0.0044970066118251,0.0249673834635316,0.0232787082394035,0.0091059134745758,0.0049054787135848,0.0161200713316272,0.0087309877682015,0.0087702498363178,0.0478876850074129,0.0019625607296081,0.0,0.0070859743387825,0.010391997
Tmc,0.5227626480636642,0.1841891719355486,0.032232085519979,0.3623461490943538,0.3264572415488639,0.3483794875572723,0.2977031411190031,0.1454436335767464,0.1511006440133989,0.2023721564291221,0.1976459458646202,0.380680723548546,0.3703982121511973,0.3050382488176556,0.022990211097291,0.1660382624113556,0.2721594701987131,0.537996902
Ohsumed,0.3329919524901523,0.0244074155507793,0.1089329792025072,0.0790654711304431,0.2689934178068704,0.2829813928270908,0.2582211553085117,0.1115334691987954,0.0165262770353961,0.0668995939041321,0.006729637789088,0.1280390840890861,0.1259686545251604,0.1487111879397529,0.0134680020724549,0.1635493040668507,0.0933736118612995,0.305793134
D20ng,0.6603992643453267,0.1356248554137124,0.0004943439964884,0.132026540455423,0.43477403610895,0.4122077596541196,0.4644867811316229,0.171916837356057,0.0972044538063745,0.1642402918134937,0.0982677143316512,0.3220114645425747,0.2913317558552634,0.5245777631507107,0.0521183015666554,0.2851853199615273,0.2569872883010518,0.195451033
Bibtex,0.2249540905930311,0.0082432561858407,0.0,0.0452745095678847,0.0924649720891334,0.0970594283888068,0.1048833360142922,0.0490981495251184,0.0291449190765103,0.0207662418972222,0.0270939214602891,0.0315586144661667,0.0324009907057648,0.0684275007022298,0.0010723825673752,0.0098010137957574,0.0347876023865162,0.212318259
Nuswidec,0.1689909091140829,0.2462908133548644,0.1510277924230695,0.0157481710925224,0.0476934550009716,0.0835826869613075,0.0981606478154237,0.0,0.0073305801329599,0.1503367431582991,0.0,0.0084519302589828,0.008431725634706,0.0,0.0021126414426959,0.0527422826626673,0.0096032013525998,0.031887588
Imdb,0.1173993465247488,0.0563100203948511,0.1215462930273886,0.0056035404700962,0.0260903846850974,0.030661110750674,0.0493988483183321,0.0067625827389461,0.0004236777517851,0.0095492106651101,0.0,0.014781166192288,0.0149611502254567,0.0617133141359163,0.0291886901396473,0.0097328498722116,0.0088731444279573,0.081757063
Average,0.4445761513163694,0.30265204146080343,0.22546656808975343,0.31178275108188513,0.2566120750592833,0.2868650087446054,0.29941846404627614,0.15293585623565956,0.18749328558917114,0.287827218688447,0.280521085677502,0.31829846447447,0.31894458597399883,0.32598787310615523,0.1361535306636703,0.20808407518505254,0.3026583567416518,0.2819447054545455
